Country|Link
Croatia|/1-hnl/startseite/wettbewerb/KR1
Serbia|/super-liga-srbije/startseite/wettbewerb/SER1
Austria|/bundesliga/startseite/wettbewerb/A1
Czech Republic|/fortuna-liga/startseite/wettbewerb/TS1
Poland|/pko-ekstraklasa/startseite/wettbewerb/PL1
Romania|/liga-1/startseite/wettbewerb/RO1
Greece|/super-league-1/startseite/wettbewerb/GR1
Israel|/ligat-haal/startseite/wettbewerb/ISR1
Bulgaria|/efbet-liga/startseite/wettbewerb/BU1
Denmark|/superligaen/startseite/wettbewerb/DK1
Sweden|/allsvenskan/startseite/wettbewerb/SE1
Scotland|/scottish-premiership/startseite/wettbewerb/SC1
Finland|/veikkausliiga/startseite/wettbewerb/FI1
Norway|/eliteserien/startseite/wettbewerb/NO1
Cyprus|/first-division/startseite/wettbewerb/ZYP1
Belarus|/vysheyshaya-liga/startseite/wettbewerb/WER1
Slovakia|/fortuna-liga/startseite/wettbewerb/SLO1
Lithuania|/a-lyga/startseite/wettbewerb/LI1
Azerbaijan|/premyer-liqasi/startseite/wettbewerb/AZ1
Kazakhstan|/premier-liga/startseite/wettbewerb/KAS1
