Team|Country|UefaId
FC Admira Wacker Mödling|Austria|69180
FC Salzburg|Austria|50030
FK Austria Wien|Austria|50110
SCR Altach|Austria|92382
SK Rapid Wien|Austria|50042
SK Sturm Graz|Austria|50111
SKN St Pölten|Austria|2602679
SV Grödig|Austria|2601058
SV Ried|Austria|61618
Wolfsberger AC|Austria|2603990
Bakı FK|Azerbaijan|68201
Gabala SC|Azerbaijan|93628
Keşla FK|Azerbaijan|74072
Neftçi PFK|Azerbaijan|59890
Olimpik-Şüvälan PFK|Azerbaijan|89673
Qarabağ FK|Azerbaijan|60609
Simurq PFK|Azerbaijan|93607
Xäzär Länkäran FK|Azerbaijan|88567
Zirä FK|Azerbaijan|2607480
FC BATE Borisov|Belarus|66168
FC Dinamo Brest|Belarus|64374
FC Dinamo Minsk|Belarus|50161
FC Dnepr Mogilev|Belarus|68224
FC Gomel|Belarus|66169
FC Minsk|Belarus|2600108
FC Naftan Novopolotsk|Belarus|64372
FC Neman Grodno|Belarus|59024
FC Shakhtyor Soligorsk|Belarus|64375
FC Torpedo Zhodino|Belarus|79551
FC Dunav Ruse|Bulgaria|52888
PFC Beroe Stara Zagora|Bulgaria|73511
PFC Botev Plovdiv|Bulgaria|57466
PFC Cherno More Varna|Bulgaria|75787
PFC Levski Sofia|Bulgaria|50044
PFC Litex Lovech|Bulgaria|64126
PFC Lokomotiv Plovdiv 1926|Bulgaria|52369
PFC Lokomotiv Sofia|Bulgaria|52891
PFC Ludogorets 1945|Bulgaria|2603104
PFC Slavia Sofia|Bulgaria|50117
GNK Dinamo Zagreb|Croatia|50164
HNK Cibalia|Croatia|69081
HNK Hajduk Split|Croatia|52359
HNK Rijeka|Croatia|52356
NK Lokomotiva Zagreb|Croatia|2600783
NK Osijek|Croatia|53082
NK Slaven Koprivnica|Croatia|64321
NK Varaždin|Croatia|60514
RNK Split|Croatia|2601166
AC Omonia|Cyprus|50077
AEK Larnaca FC|Cyprus|54191
AEL Limassol FC|Cyprus|52800
APOEL FC|Cyprus|50118
Anorthosis Famagusta FC|Cyprus|52897
Apollon Limassol FC|Cyprus|52741
Ermis Aradippou FC|Cyprus|77891
AC Sparta Praha|Czech Republic|50033
FC Baník Ostrava|Czech Republic|51886
FC Slovan Liberec|Czech Republic|64385
FC Viktoria Plzeň|Czech Republic|64388
FC Zlín|Czech Republic|65129
FK Jablonec|Czech Republic|62169
FK Mladá Boleslav|Czech Republic|88134
FK Teplice|Czech Republic|64387
SK Sigma Olomouc|Czech Republic|52905
SK Slavia Praha|Czech Republic|52498
AC Horsens|Denmark|89695
AGF Aarhus|Denmark|50019
Aalborg BK|Denmark|54186
Brøndby IF|Denmark|50021
Esbjerg fB|Denmark|64140
F.C. Copenhagen|Denmark|52709
FC Midtjylland|Denmark|75795
FC Nordsjælland|Denmark|79940
Lyngby BK|Denmark|50020
Odense BK|Denmark|52233
Randers FC|Denmark|64146
SønderjyskE|Denmark|89694
FC Honka Espoo|Finland|91760
FC Inter Turku|Finland|64161
FC Lahti|Finland|50082
HJK Helsinki|Finland|50052
IFK Mariehamn|Finland|89248
JJK Jyväskylä|Finland|2600603
KuPS Kuopio|Finland|52350
Myllykosken Pallo -47|Finland|59012
RoPS Rovaniemi|Finland|52812
SJK Seinäjoki|Finland|2602520
TPS Turku|Finland|50126
VPS Vaasa|Finland|64390
AE Larissa FC|Greece|50053
AEK Athens FC|Greece|50129
Aris Thessaloniki FC|Greece|52949
Asteras Tripolis FC|Greece|2600293
Atromitos FC|Greece|84641
Olympiacos FC|Greece|2610
PAOK FC|Greece|50130
Panathinaikos FC|Greece|50084
Panionios GSS|Greece|52955
Xanthi FC|Greece|52956
Beitar Jerusalem FC|Israel|59034
Bnei Yehuda Tel-Aviv FC|Israel|64189
Hapoel Beer-Sheva FC|Israel|59340
Hapoel Kiryat Shmona FC|Israel|2600291
Hapoel Tel-Aviv FC|Israel|59869
Maccabi Haifa FC|Israel|59045
Maccabi Netanya FC|Israel|73561
Maccabi Tel-Aviv FC|Israel|57477
FC Aktobe|Kazakhstan|79973
FC Astana|Kazakhstan|2600605
FC Atyrau|Kazakhstan|79961
FC Irtysh Pavlodar|Kazakhstan|79964
FC Kairat Almaty|Kazakhstan|79970
FC Okzhetpes Kokshetau|Kazakhstan|85934
FC Ordabasy Shymkent|Kazakhstan|82825
FC Shakhter Karagandy|Kazakhstan|79968
FC Tobol Kostanay|Kazakhstan|79969
FC Zhetysu Taldykorgan|Kazakhstan|82828
FC Šiauliai|Lithuania|77906
FK Atlantas|Lithuania|64489
FK Banga|Lithuania|64348
FK Ekranas|Lithuania|59035
FK Kruoja|Lithuania|2600621
FK Riteriai|Lithuania|2606168
FK Sūduva|Lithuania|79557
FK Tauras|Lithuania|64352
FK Žalgiris Vilnius|Lithuania|2602334
Aalesunds FK|Norway|82819
FK Haugesund|Norway|64214
Fredrikstad FK|Norway|64211
Lillestrøm SK|Norway|52314
Molde FK|Norway|50142
Odds BK|Norway|71256
Rosenborg BK|Norway|52806
SK Brann|Norway|52770
Stabæk Fotball|Norway|61584
Strømsgodset IF|Norway|57485
Tromsø IL|Norway|53001
Vålerenga Fotball|Norway|52318
Arka Gdynia|Poland|64219
GKS Piast Gliwice|Poland|2600545
Jagiellonia Białystok|Poland|2600277
KKS Lech Poznań|Poland|64227
KSP Polonia Warszawa|Poland|58955
Legia Warszawa|Poland|50146
MKS Cracovia Kraków|Poland|88133
Ruch Chorzów|Poland|52807
WKS Śląsk Wrocław|Poland|52655
Wisła Kraków|Poland|52651
Zagłębie Lubin|Poland|53007
Zawisza Bydgoszcz|Poland|2602720
Bohemian FC|Republic of Ireland|52375
Cork City FC|Republic of Ireland|52803
Derry City FC|Republic of Ireland|50086
Drogheda United FC|Republic of Ireland|52378
Dundalk FC|Republic of Ireland|50055
Saint Patrick's Athletic FC|Republic of Ireland|50133
Shamrock Rovers FC|Republic of Ireland|52381
Sligo Rovers FC|Republic of Ireland|52660
University College Dublin AFC|Republic of Ireland|53021
CFR 1907 Cluj|Romania|88131
CS Gaz Metan Mediaş|Romania|75823
CS Pandurii Târgu Jiu|Romania|89720
FC Astra Giurgiu|Romania|69611
FC Botoşani|Romania|2605104
FC Dinamo Bucureşti|Romania|50098
FC Oţelul Galaţi|Romania|50151
FC Petrolul Ploieşti|Romania|53030
FC Rapid Bucureşti|Romania|59039
FC Vaslui|Romania|89719
FC Viitorul|Romania|2604753
FCSB|Romania|50065
Universitatea Craiova|Romania|2606501
Aberdeen FC|Scotland|50122
Celtic FC|Scotland|50050
Dundee United FC|Scotland|50079
Heart of Midlothian FC|Scotland|50120
Hibernian FC|Scotland|52821
Inverness Caledonian Thistle FC|Scotland|88279
Motherwell FC|Scotland|53035
Rangers FC|Scotland|50121
St Johnstone FC|Scotland|64249
FK Crvena zvezda|Serbia|50069
FK Jagodina|Serbia|2600521
FK Mladost Lučani|Serbia|64530
FK Partizan|Serbia|50162
FK Rad|Serbia|52827
FK Sloboda Užice|Serbia|2600629
FK Spartak Subotica|Serbia|53079
FK Vojvodina|Serbia|52810
FK Čukarički|Serbia|60570
OFK Beograd|Serbia|65139
AS Trenčín|Slovakia|64315
FC Nitra|Slovakia|52798
FC Spartak Trnava|Slovakia|52904
FK Dukla Banská Bystrica|Slovakia|52663
FK Senica|Slovakia|50100
MFK Košice|Slovakia|59029
MFK Ružomberok|Slovakia|64319
MŠK Žilina|Slovakia|61601
ŠK Slovan Bratislava|Slovakia|52797
AIK|Sweden|52341
BK Häcken|Sweden|69621
Djurgårdens IF|Sweden|52809
Gefle IF|Sweden|89251
Helsingborgs IF|Sweden|60401
IF Brommapojkarna|Sweden|2600094
IF Elfsborg|Sweden|52344
IFK Göteborg|Sweden|50066
IFK Norrköping FK|Sweden|50099
Kalmar FF|Sweden|54187
Malmö FF|Sweden|50152
Örebro SK|Sweden|53049
Östersunds FK|Sweden|2602507
